rank,num_true,num_models,acc_percent,image_path
5109,671,1023,65.591,5109_acc65.6_ef2327599ea2442.png
10811,110,1023,10.753,10811_acc10.8_562b3cf50b79433.png
14727,9,1023,0.880,14727_acc0.9_c5805ab17cd94f0.png
3927,807,1023,78.886,3927_acc78.9_dfeab28b2f37492.png
8058,321,1023,31.378,8058_acc31.4_f8b9330e920041e.png
16427,1,1023,0.098,16427_acc0.1_3b10e014991549b.png
156,1023,1023,100.000,156_acc100.0_b32ebd1384c545f.png
7823,346,1023,33.822,7823_acc33.8_8d570b6b4a25492.png
17040,0,1023,0.000,17040_acc0.0_93d434b688c5497.png
14968,7,1023,0.684,14968_acc0.7_6ffea0625f9648c.png
10330,134,1023,13.099,10330_acc13.1_fa536b75a79f43e.png
101,1023,1023,100.000,101_acc100.0_2e569a093856402.png
14726,9,1023,0.880,14726_acc0.9_3b5dad3523314f6.png
10844,108,1023,10.557,10844_acc10.6_1766ef9f1a7f40b.png
14363,12,1023,1.173,14363_acc1.2_44f5ba2a58fb493.png
12483,48,1023,4.692,12483_acc4.7_c198f20ea0f64cb.png
16714,0,1023,0.000,16714_acc0.0_e19a719907f0483.png
2294,946,1023,92.473,2294_acc92.5_1cfbfb7624f2420.png
2674,922,1023,90.127,2674_acc90.1_3c6fec78a7d347b.png
745,1014,1023,99.120,745_acc99.1_5555aef9415b49b.png
1717,978,1023,95.601,1717_acc95.6_1bf851510b27407.png
1153,1002,1023,97.947,1153_acc97.9_ea5fd2041cc8428.png
18195,0,1023,0.000,18195_acc0.0_ed3115e06c8d450.png
899,1010,1023,98.729,899_acc98.7_596fc7e53c85423.png
7433,391,1023,38.221,7433_acc38.2_e9304b0a9fd1498.png
10543,122,1023,11.926,10543_acc11.9_d9d4347a31d74c6.png
17566,0,1023,0.000,17566_acc0.0_2a59f5ea4fd2411.png
831,1012,1023,98.925,831_acc98.9_d55896adad1145a.png
1362,994,1023,97.165,1362_acc97.2_be768f0360d84a7.png
14295,13,1023,1.271,14295_acc1.3_e57fe6f317974f9.png
1791,975,1023,95.308,1791_acc95.3_1141271e7cd8431.png
7856,343,1023,33.529,7856_acc33.5_d312a945da8144f.png
175,1023,1023,100.000,175_acc100.0_dbdf0d48a0b14bd.png
4782,711,1023,69.501,4782_acc69.5_6e7c553471ac408.png
8409,288,1023,28.152,8409_acc28.2_f537b3b6a46b40f.png
15464,4,1023,0.391,15464_acc0.4_0bc3eee078894e6.png
1719,978,1023,95.601,1719_acc95.6_1d8d3aa37aa046b.png
3923,808,1023,78.983,3923_acc79.0_382c55232d7e4eb.png
7880,340,1023,33.236,7880_acc33.2_1956628ba159412.png
