2025-08-16 01:30:19 | INFO | train | Output directory: /home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/image_difficulty_classifier/output_CLIP_LINEAR_ViT_B_32_openai
2025-08-16 01:30:19 | INFO | train | Model: clip_linear
2025-08-16 01:30:19 | INFO | train | Backbone fine-tuning: DISABLED (frozen)
2025-08-16 01:30:19 | INFO | train | CLIP backbone: ViT-B-32
2025-08-16 01:30:19 | INFO | train | CLIP pretrained: openai
2025-08-16 01:30:21 | INFO | train | Epoch 1/20
2025-08-16 01:30:23 | INFO | train | epoch=1 step=1/115 global_step=1 loss=1.4166 batch_acc=0.4844 lr=4.34783e-06 time=0.395s ips=323/s
2025-08-16 01:30:23 | INFO | train | epoch=1 step=2/115 global_step=2 loss=1.4215 batch_acc=0.4219 lr=8.69565e-06 time=0.040s ips=3162/s
2025-08-16 01:30:23 | INFO | train | epoch=1 step=3/115 global_step=3 loss=1.4182 batch_acc=0.5078 lr=1.30435e-05 time=0.072s ips=1786/s
2025-08-16 01:30:23 | INFO | train | epoch=1 step=4/115 global_step=4 loss=1.4219 batch_acc=0.4219 lr=1.73913e-05 time=0.041s ips=3125/s
2025-08-16 01:30:24 | INFO | train | epoch=1 step=5/115 global_step=5 loss=1.4022 batch_acc=0.5312 lr=2.17391e-05 time=0.036s ips=3543/s
2025-08-16 01:30:24 | INFO | train | epoch=1 step=6/115 global_step=6 loss=1.4059 batch_acc=0.5078 lr=2.6087e-05 time=0.036s ips=3516/s
2025-08-16 01:30:24 | INFO | train | epoch=1 step=7/115 global_step=7 loss=1.4141 batch_acc=0.4375 lr=3.04348e-05 time=0.036s ips=3523/s
2025-08-16 01:30:24 | INFO | train | epoch=1 step=8/115 global_step=8 loss=1.3968 batch_acc=0.5234 lr=3.47826e-05 time=0.036s ips=3513/s
2025-08-16 01:30:24 | INFO | train | epoch=1 step=9/115 global_step=9 loss=1.4133 batch_acc=0.4609 lr=3.91304e-05 time=0.036s ips=3547/s
2025-08-16 01:30:25 | INFO | train | epoch=1 step=10/115 global_step=10 loss=1.4166 batch_acc=0.5000 lr=4.34783e-05 time=0.036s ips=3542/s
2025-08-16 01:30:25 | INFO | train | epoch=1 step=11/115 global_step=11 loss=1.3815 batch_acc=0.5547 lr=4.78261e-05 time=0.036s ips=3509/s
2025-08-16 01:30:25 | INFO | train | epoch=1 step=12/115 global_step=12 loss=1.3854 batch_acc=0.5781 lr=5.21739e-05 time=0.036s ips=3514/s
2025-08-16 01:30:25 | INFO | train | epoch=1 step=13/115 global_step=13 loss=1.4065 batch_acc=0.4922 lr=5.65217e-05 time=0.036s ips=3547/s
2025-08-16 01:30:26 | INFO | train | epoch=1 step=14/115 global_step=14 loss=1.4114 batch_acc=0.3984 lr=6.08696e-05 time=0.041s ips=3092/s
2025-08-16 01:30:26 | INFO | train | epoch=1 step=15/115 global_step=15 loss=1.4033 batch_acc=0.4609 lr=6.52174e-05 time=0.041s ips=3126/s
2025-08-16 01:30:26 | INFO | train | epoch=1 step=16/115 global_step=16 loss=1.3896 batch_acc=0.4766 lr=6.95652e-05 time=0.041s ips=3125/s
2025-08-16 01:30:26 | INFO | train | epoch=1 step=17/115 global_step=17 loss=1.3981 batch_acc=0.4844 lr=7.3913e-05 time=0.036s ips=3549/s
2025-08-16 01:30:26 | INFO | train | epoch=1 step=18/115 global_step=18 loss=1.3525 batch_acc=0.5547 lr=7.82609e-05 time=0.036s ips=3543/s
2025-08-16 01:30:26 | INFO | train | epoch=1 step=19/115 global_step=19 loss=1.3712 batch_acc=0.5156 lr=8.26087e-05 time=0.037s ips=3494/s
2025-08-16 01:30:27 | INFO | train | epoch=1 step=20/115 global_step=20 loss=1.3706 batch_acc=0.4922 lr=8.69565e-05 time=0.036s ips=3519/s
2025-08-16 01:30:27 | INFO | train | epoch=1 step=21/115 global_step=21 loss=1.3582 batch_acc=0.5000 lr=9.13043e-05 time=0.036s ips=3551/s
2025-08-16 01:30:27 | INFO | train | epoch=1 step=22/115 global_step=22 loss=1.3661 batch_acc=0.5312 lr=9.56522e-05 time=0.036s ips=3538/s
2025-08-16 01:30:27 | INFO | train | epoch=1 step=23/115 global_step=23 loss=1.3392 batch_acc=0.5391 lr=0.0001 time=0.036s ips=3535/s
2025-08-16 01:30:29 | INFO | train | Saved checkpoint: /home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/image_difficulty_classifier/output_CLIP_LINEAR_ViT_B_32_openai/checkpoints/checkpoint_epoch0_step23.pt
2025-08-16 01:30:29 | INFO | train | epoch=1 step=24/115 global_step=24 loss=1.3698 batch_acc=0.4688 lr=0.000104348 time=0.041s ips=3124/s
2025-08-16 01:30:29 | INFO | train | epoch=1 step=25/115 global_step=25 loss=1.3646 batch_acc=0.4531 lr=0.000108696 time=0.086s ips=1483/s
2025-08-16 01:30:29 | INFO | train | epoch=1 step=26/115 global_step=26 loss=1.3516 batch_acc=0.4922 lr=0.000113043 time=0.041s ips=3119/s
2025-08-16 01:30:29 | INFO | train | epoch=1 step=27/115 global_step=27 loss=1.3331 batch_acc=0.5547 lr=0.000117391 time=0.041s ips=3122/s
2025-08-16 01:30:29 | INFO | train | epoch=1 step=28/115 global_step=28 loss=1.3352 batch_acc=0.5547 lr=0.000121739 time=0.041s ips=3123/s
2025-08-16 01:30:29 | INFO | train | epoch=1 step=29/115 global_step=29 loss=1.3505 batch_acc=0.4844 lr=0.000126087 time=0.041s ips=3128/s
2025-08-16 01:30:29 | INFO | train | epoch=1 step=30/115 global_step=30 loss=1.3368 batch_acc=0.4609 lr=0.000130435 time=0.036s ips=3541/s
2025-08-16 01:30:29 | INFO | train | epoch=1 step=31/115 global_step=31 loss=1.3175 batch_acc=0.4922 lr=0.000134783 time=0.037s ips=3489/s
2025-08-16 01:30:30 | INFO | train | epoch=1 step=32/115 global_step=32 loss=1.3092 batch_acc=0.5156 lr=0.00013913 time=0.036s ips=3542/s
