wnid,label,rank,image_path
n04243546,"slot, one-armed bandit",227,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00037814.JPEG"
n04243546,"slot, one-armed bandit",350,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00012485.JPEG"
n04243546,"slot, one-armed bandit",582,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00029925.JPEG"
n04243546,"slot, one-armed bandit",1165,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00013787.JPEG"
n04243546,"slot, one-armed bandit",1402,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00021952.JPEG"
n04243546,"slot, one-armed bandit",1651,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00006247.JPEG"
n04243546,"slot, one-armed bandit",1706,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00017216.JPEG"
n04243546,"slot, one-armed bandit",2423,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00022468.JPEG"
n04243546,"slot, one-armed bandit",2710,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00017131.JPEG"
n04243546,"slot, one-armed bandit",3937,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00034692.JPEG"
n04243546,"slot, one-armed bandit",4407,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00044150.JPEG"
n04243546,"slot, one-armed bandit",5262,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00013051.JPEG"
n04243546,"slot, one-armed bandit",5682,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00037072.JPEG"
n04243546,"slot, one-armed bandit",6200,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00034149.JPEG"
n04243546,"slot, one-armed bandit",6296,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00047686.JPEG"
n04243546,"slot, one-armed bandit",7895,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00000857.JPEG"
n04243546,"slot, one-armed bandit",8273,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00022738.JPEG"
n04243546,"slot, one-armed bandit",8592,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00024983.JPEG"
n04243546,"slot, one-armed bandit",9266,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00046062.JPEG"
n04243546,"slot, one-armed bandit",9305,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00016377.JPEG"
n04243546,"slot, one-armed bandit",9997,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00048185.JPEG"
n04243546,"slot, one-armed bandit",11891,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00019474.JPEG"
n04243546,"slot, one-armed bandit",12014,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00013074.JPEG"
n04243546,"slot, one-armed bandit",12186,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00031668.JPEG"
n04243546,"slot, one-armed bandit",12307,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00006025.JPEG"
n04243546,"slot, one-armed bandit",12468,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00033812.JPEG"
n04243546,"slot, one-armed bandit",12659,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00032348.JPEG"
n04243546,"slot, one-armed bandit",14676,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00046686.JPEG"
n04243546,"slot, one-armed bandit",14930,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00029120.JPEG"
n04243546,"slot, one-armed bandit",14970,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00047725.JPEG"
n04243546,"slot, one-armed bandit",14984,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00013741.JPEG"
n04243546,"slot, one-armed bandit",15987,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00041123.JPEG"
n04243546,"slot, one-armed bandit",16745,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00011959.JPEG"
n04243546,"slot, one-armed bandit",17917,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00032495.JPEG"
n04243546,"slot, one-armed bandit",19194,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00005514.JPEG"
n04243546,"slot, one-armed bandit",19423,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00004488.JPEG"
n04243546,"slot, one-armed bandit",19526,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00042864.JPEG"
n04243546,"slot, one-armed bandit",20059,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00024157.JPEG"
n04243546,"slot, one-armed bandit",20435,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00030944.JPEG"
n04243546,"slot, one-armed bandit",20914,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00007067.JPEG"
n04243546,"slot, one-armed bandit",23601,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00036619.JPEG"
n04243546,"slot, one-armed bandit",24438,"/home/projects/bagon/shared/imagenet512/val/n04243546/ILSVRC2012_val_00027538.JPEG"
