path,first_correct_step
/home/projects/bagon/shared/imagenet512/val/n01768244/ILSVRC2012_val_00029487.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02102177/ILSVRC2012_val_00018556.JPEG,814
/home/projects/bagon/shared/imagenet512/val/n03544143/ILSVRC2012_val_00010178.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02114548/ILSVRC2012_val_00037010.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n13037406/ILSVRC2012_val_00000200.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02704792/ILSVRC2012_val_00034843.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n07760859/ILSVRC2012_val_00003228.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03937543/ILSVRC2012_val_00041459.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03271574/ILSVRC2012_val_00043592.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04482393/ILSVRC2012_val_00029905.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03743016/ILSVRC2012_val_00021884.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01930112/ILSVRC2012_val_00033050.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04485082/ILSVRC2012_val_00037374.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03764736/ILSVRC2012_val_00037823.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02797295/ILSVRC2012_val_00032004.JPEG,644
/home/projects/bagon/shared/imagenet512/val/n02486410/ILSVRC2012_val_00008484.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03623198/ILSVRC2012_val_00019616.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03929660/ILSVRC2012_val_00035041.JPEG,338
/home/projects/bagon/shared/imagenet512/val/n03483316/ILSVRC2012_val_00002771.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03670208/ILSVRC2012_val_00018066.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02795169/ILSVRC2012_val_00031600.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01795545/ILSVRC2012_val_00001537.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02417914/ILSVRC2012_val_00009082.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03764736/ILSVRC2012_val_00032660.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03124043/ILSVRC2012_val_00007970.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04542943/ILSVRC2012_val_00026559.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02264363/ILSVRC2012_val_00027634.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01768244/ILSVRC2012_val_00033159.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01739381/ILSVRC2012_val_00008579.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02088364/ILSVRC2012_val_00008675.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02410509/ILSVRC2012_val_00040273.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04141975/ILSVRC2012_val_00039529.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02859443/ILSVRC2012_val_00000724.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04317175/ILSVRC2012_val_00028075.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02356798/ILSVRC2012_val_00016733.JPEG,-1
