rank,num_true,num_models,acc_percent,image_path
9993,155,1023,15.152,9993_acc15.2_89ba8692d95945c.png
13583,23,1023,2.248,13583_acc2.2_0d857224b90a430.png
11949,63,1023,6.158,11949_acc6.2_7ea97b10209344c.png
12640,43,1023,4.203,12640_acc4.2_ece0e52c81e7475.png
11712,71,1023,6.940,11712_acc6.9_a1328020de7c417.png
16132,1,1023,0.098,16132_acc0.1_9da3b4fc1f5a4c9.png
9031,228,1023,22.287,9031_acc22.3_985b6ee76dcf4a7.png
6404,516,1023,50.440,6404_acc50.4_5cf271b6c289464.png
10191,143,1023,13.978,10191_acc14.0_327b00093a2a40b.png
11373,84,1023,8.211,11373_acc8.2_006ec83b07a2445.png
18479,0,1023,0.000,18479_acc0.0_9a38d59afb3641a.png
10730,113,1023,11.046,10730_acc11.0_3734c0db11334f4.png
6803,466,1023,45.552,6803_acc45.6_7ae9e45299da4f9.png
12567,45,1023,4.399,12567_acc4.4_5430512e09024e5.png
12952,36,1023,3.519,12952_acc3.5_f343a7ebd1eb4ba.png
9400,197,1023,19.257,9400_acc19.3_f6f0d7facbeb42c.png
6697,479,1023,46.823,6697_acc46.8_8b7298b1547b48c.png
10327,134,1023,13.099,10327_acc13.1_fb4f981c98e2433.png
6237,536,1023,52.395,6237_acc52.4_42efcbcda87a43f.png
11205,91,1023,8.895,11205_acc8.9_bbf6dc6fb86d4a4.png
8764,253,1023,24.731,8764_acc24.7_4e31572dbf114ec.png
10138,146,1023,14.272,10138_acc14.3_7075026e66194b4.png
7741,354,1023,34.604,7741_acc34.6_3412663d8cb8486.png
7969,331,1023,32.356,7969_acc32.4_63e68a6ff38c4ff.png
16335,1,1023,0.098,16335_acc0.1_32f5c90677ff48f.png
14666,9,1023,0.880,14666_acc0.9_5df95a73dfe14ec.png
18369,0,1023,0.000,18369_acc0.0_40533fbc72db46e.png
15411,4,1023,0.391,15411_acc0.4_c3c5e332f2494e5.png
2352,943,1023,92.180,2352_acc92.2_43e733f598454a2.png
14091,15,1023,1.466,14091_acc1.5_6d6f2082dc6a4b2.png
13697,21,1023,2.053,13697_acc2.1_8d5aedb3032f434.png
11594,76,1023,7.429,11594_acc7.4_02a54f5ec9da424.png
17931,0,1023,0.000,17931_acc0.0_09cb2de7d1bb42f.png
6191,542,1023,52.981,6191_acc53.0_f0591658d9a0415.png
10272,137,1023,13.392,10272_acc13.4_b9bed94c9c38462.png
11994,62,1023,6.061,11994_acc6.1_ab6b486d2f31413.png
15585,3,1023,0.293,15585_acc0.3_c6ccc8b095f54f5.png
13946,17,1023,1.662,13946_acc1.7_c5a7d04bbf4046f.png
14639,9,1023,0.880,14639_acc0.9_2abdb4f15c064cb.png
10176,144,1023,14.076,10176_acc14.1_d9717b661c28420.png
17645,0,1023,0.000,17645_acc0.0_61c696308dd8457.png
10881,106,1023,10.362,10881_acc10.4_a6f6bd9b329747b.png
11241,90,1023,8.798,11241_acc8.8_2c76d28da1d848f.png
10305,135,1023,13.196,10305_acc13.2_d6c598ef4c5c458.png
12460,48,1023,4.692,12460_acc4.7_95bddf1c1e9f4d3.png
8918,239,1023,23.363,8918_acc23.4_d8b38a63690f4a1.png
8262,302,1023,29.521,8262_acc29.5_f67e6dc47243413.png
10767,111,1023,10.850,10767_acc10.9_4bac8e03de234b7.png
12759,40,1023,3.910,12759_acc3.9_f7112e42a638473.png
15204,5,1023,0.489,15204_acc0.5_c8ff73afce9045b.png
281,1022,1023,99.902,281_acc99.9_e77d0ae95ef24e2.png
7950,332,1023,32.454,7950_acc32.5_e603e4351f7a429.png
