model_in_csv,model_in_timm,parameter_count,url
mobilenetv3_small_050_224_lamb_imagenet_1k,mobilenetv3_small_050.lamb_in1k,1.6M,https://huggingface.co/timm/mobilenetv3_small_050.lamb_in1k
efficientvit_medium_0_224_classification_imagenet_1k,efficientvit_m0.r224_in1k, 2.38M,https://huggingface.co/timm/efficientvit_m0.r224_in1k
mobilenetv3_small_075_224_lamb_imagenet_1k,mobilenetv3_small_075.lamb_in1k, 2.05M, https://huggingface.co/timm/mobilenetv3_small_075.lamb_in1k
resnet_18_160_classification_imagenet_1k,resnet18.a3_in1k,11.7M,https://huggingface.co/timm/resnet18.a3_in1k
mobilenetv2_050_224_lamb_imagenet_1k,mobilenetv2_050.lamb_in1k,1.99M,https://huggingface.co/timm/mobilenetv2_050.lamb_in1k
resnet_10t_176_classification_imagenet_1k,resnet10t.c3_in1k,5.4M,https://huggingface.co/timm/resnet10t.c3_in1k
tinynet_d_152_classification_imagenet_1k,tinynet_d.in1k,2.36M,https://huggingface.co/timm/tinynet_d.in1k
mobilenetv3_small_100_224_lamb_imagenet_1k,mobilenetv3_small_100.lamb_in1k,2.55M,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k
efficientvit_medium_1_224_classification_imagenet_1k,efficientvit_m1.r224_in1k,3.01M,https://huggingface.co/timm/efficientvit_m1.r224_in1k
resnet_18_224_tv_imagenet_1k,resnet18.tv_in1k,11.7M,https://huggingface.co/timm/resnet18.tv_in1k
vgg_13_224_tv_imagenet_1k,vgg13.tv_in1k,133.0M,https://huggingface.co/timm/vgg13.tv_in1k
resnet_34_160_classification_imagenet_1k,resnet34.a3_in1k,21.3M,https://huggingface.co/timm/resnet34.a3_in1k
efficientvit_medium_2_224_classification_imagenet_1k,efficientvit_m2.r224_in1k,4.23M,https://huggingface.co/timm/efficientvit_m2.r224_in1k
resnet_18_224_gluon_imagenet_1k,resnet18.gluon_in1k,11.7M,https://huggingface.co/timm/resnet18.gluon_in1k
efficientvit_medium_3_224_classification_imagenet_1k,efficientvit_m3.r224_in1k,6.95M,https://huggingface.co/timm/efficientvit_m3.r224_in1k
efficientvit_medium_4_224_classification_imagenet_1k,efficientvit_m4.r224_in1k,8.86M,https://huggingface.co/timm/efficientvit_m4.r224_in1k
efficientvit_base_0_224_classification_imagenet_1k,efficientvit_b0.r224_in1k,3.42M,https://huggingface.co/timm/efficientvit_b0.r224_in1k
efficientvit_base_1_224_classification_imagenet_1k,efficientvit_b1.r224_in1k,9.12M,https://huggingface.co/timm/efficientvit_b1.r224_in1k
efficientvit_base_2_224_classification_imagenet_1k,efficientvit_b2.r224_in1k,24.4M,https://huggingface.co/timm/efficientvit_b2.r224_in1k
efficientvit_base_3_224_classification_imagenet_1k,efficientvit_b3.r224_in1k,48.7M,https://huggingface.co/timm/efficientvit_b3.r224_in1k
