class,rank,num_true,num_models,acc_percent,image_path
hammer,3700,831,1023,81.232,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/a84ddbe6704f40f.png"
hammer,5940,570,1023,55.718,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/e9a28bcef29b418.png"
hammer,14698,9,1023,0.880,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/95191ae3134b4f6.png"
hammer,5958,568,1023,55.523,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/9f341cb9abfe458.png"
hammer,5821,583,1023,56.989,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/76fd2e4cadd144e.png"
hammer,7230,415,1023,40.567,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/6dc7bf3f5851437.png"
hammer,7879,340,1023,33.236,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/fa5b58980b9941d.png"
hammer,5312,647,1023,63.245,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/b3bd07fb3a35424.png"
hammer,17087,0,1023,0.000,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/f4a4c57a8ba349d.png"
hammer,11093,96,1023,9.384,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/5735a38efbd345b.png"
hammer,4397,757,1023,73.998,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/e5f616c902a548a.png"
hammer,17864,0,1023,0.000,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/2631b4d585c34ab.png"
hammer,7980,330,1023,32.258,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/c521388c18b7432.png"
hammer,1485,990,1023,96.774,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/aa610fe60bdd41a.png"
hammer,10916,104,1023,10.166,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/e7b65301679d43d.png"
hammer,6909,452,1023,44.184,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/f0ddab20de0d40f.png"
hammer,2338,944,1023,92.278,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/7a767491f53d4d3.png"
hammer,7821,346,1023,33.822,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/4ad6b3bd3c3e46a.png"
hammer,1593,984,1023,96.188,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/4bfb6de2c7bc421.png"
hammer,5194,660,1023,64.516,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/8d1730af82ff4ea.png"
hammer,7395,396,1023,38.710,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/84c1f959d95d477.png"
hammer,5789,587,1023,57.380,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/0d976fd2c8d64f7.png"
hammer,6700,479,1023,46.823,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/e5ceaecdd77b40b.png"
hammer,5005,685,1023,66.960,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/3668eddf3b8a4aa.png"
hammer,10990,101,1023,9.873,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/5ed3c3aa19ff4e7.png"
hammer,6136,548,1023,53.568,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/7d16f52b977c45d.png"
hammer,10665,116,1023,11.339,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/193cb93880d3417.png"
hammer,1161,1002,1023,97.947,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/2279196daba74f4.png"
hammer,278,1022,1023,99.902,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/33672ae14e1a466.png"
hammer,3493,851,1023,83.187,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/b3b1a883c35a4af.png"
hammer,2731,917,1023,89.638,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/72d4e6f3c3c6439.png"
hammer,9030,228,1023,22.287,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/15cc0cdf7682441.png"
hammer,2386,940,1023,91.887,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/1f2a73383594429.png"
hammer,5218,658,1023,64.321,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/0ef057ebe017489.png"
hammer,14653,9,1023,0.880,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/a39fcb6a7241429.png"
hammer,10477,126,1023,12.317,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/312812898d4b404.png"
hammer,5287,650,1023,63.539,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/18f9972580654ba.png"
hammer,8168,310,1023,30.303,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/b6e219f760b2400.png"
hammer,13636,22,1023,2.151,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/3cb413dacd14475.png"
hammer,7063,435,1023,42.522,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/c050eec3d728446.png"
hammer,10678,115,1023,11.241,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/d3ac5de645404c5.png"
hammer,4839,706,1023,69.013,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/dac91b04710a4b9.png"
hammer,8391,289,1023,28.250,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/9af709823d2640e.png"
hammer,7817,347,1023,33.920,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/685a22d137fe4c2.png"
hammer,14673,9,1023,0.880,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/c355e5ad103449c.png"
hammer,8647,264,1023,25.806,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/8e21b914b5664bb.png"
hammer,2799,912,1023,89.150,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/0e942ed30dad402.png"
hammer,16062,2,1023,0.196,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/b8cb2d5ab0ec4b4.png"
hammer,12353,51,1023,4.985,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/b09e3c8ae244486.png"
hammer,5025,682,1023,66.667,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/c4100e7d7fb149d.png"
hammer,15702,3,1023,0.293,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/8d3c22a055784ae.png"
hammer,16313,1,1023,0.098,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/8d4e13210dbd423.png"
hammer,1776,976,1023,95.406,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/6d9a4d044639450.png"
hammer,10270,137,1023,13.392,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/3a9e972f553a495.png"
hammer,4091,790,1023,77.224,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/c3d5f38c636b400.png"
hammer,7763,352,1023,34.409,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/8a8f4e7665384a6.png"
hammer,5672,601,1023,58.749,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/72e58aae7f61439.png"
hammer,3150,885,1023,86.510,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/c52ff6f5e3544e1.png"
hammer,10575,120,1023,11.730,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/9620f77c9695442.png"
hammer,1702,979,1023,95.699,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/68241ed2b6e5468.png"
hammer,7233,415,1023,40.567,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/86e2e7480085430.png"
hammer,1615,983,1023,96.090,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/42de32338c5f418.png"
hammer,13635,22,1023,2.151,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/db4dc490ff8f49f.png"
hammer,1104,1004,1023,98.143,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/32c642d9804f48e.png"
hammer,10017,153,1023,14.956,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/e7efc829d4014d4.png"
hammer,10134,146,1023,14.272,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/04b05c94ab5b47e.png"
hammer,3443,856,1023,83.675,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/90d2d3ee8acd476.png"
hammer,9043,226,1023,22.092,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/eb354edb607d41c.png"
hammer,4889,700,1023,68.426,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/43e7437aa36b41a.png"
hammer,1994,964,1023,94.233,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/36ce5b721fb6448.png"
hammer,2348,943,1023,92.180,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/733491b030224d0.png"
hammer,11049,98,1023,9.580,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/3ec0850ac0d442f.png"
hammer,3883,812,1023,79.374,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/12cf2121854b4a9.png"
hammer,9298,206,1023,20.137,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/aaa883c741b74b2.png"
hammer,10689,115,1023,11.241,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/c56271b48e864c4.png"
hammer,4706,722,1023,70.577,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/48eff2faf00c428.png"
hammer,5905,574,1023,56.109,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/4f44fea9baf4400.png"
hammer,2372,941,1023,91.984,"/home/projects/bagon/andreyg/Projects/BMM_school/Universal_learning/Programming/dataset_processing/objectnet-1.0/objectnet-1.0/images/hammer/eecc3d8ce1484dd.png"
