example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,universal_difficulty_rank
0,/home/projects/bagon/shared/imagenet512/val/n01871265/ILSVRC2012_val_00036826.JPEG,508,81.76199626922607,0.0009984970092773438,20575
1,/home/projects/bagon/shared/imagenet512/val/n03201208/ILSVRC2012_val_00026442.JPEG,363,28.6496639251709,0.00099945068359375,24577
2,/home/projects/bagon/shared/imagenet512/val/n02977058/ILSVRC2012_val_00018770.JPEG,358,56.00720500946045,0.0009965896606445312,24681
3,/home/projects/bagon/shared/imagenet512/val/n01608432/ILSVRC2012_val_00047637.JPEG,273,27.127039909362793,0.0009908676147460938,25158
4,/home/projects/bagon/shared/imagenet512/val/n02730930/ILSVRC2012_val_00040461.JPEG,296,49.52242660522461,0.00099945068359375,25404
5,/home/projects/bagon/shared/imagenet512/val/n04532106/ILSVRC2012_val_00032900.JPEG,295,60.43429470062256,0.0009975433349609375,26598
6,/home/projects/bagon/shared/imagenet512/val/n03100240/ILSVRC2012_val_00026398.JPEG,555,43.89934158325195,0.0009946823120117188,26833
7,/home/projects/bagon/shared/imagenet512/val/n02099429/ILSVRC2012_val_00006836.JPEG,448,36.198668479919434,0.0009946823120117188,28510
8,/home/projects/bagon/shared/imagenet512/val/n02106662/ILSVRC2012_val_00026629.JPEG,394,48.7596435546875,0.0009908676147460938,29069
9,/home/projects/bagon/shared/imagenet512/val/n03599486/ILSVRC2012_val_00002462.JPEG,210,38.481940269470215,0.0009975433349609375,29133
10,/home/projects/bagon/shared/imagenet512/val/n02687172/ILSVRC2012_val_00012386.JPEG,279,32.47391700744629,0.0009937286376953125,29492
11,/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00025111.JPEG,404,79.26051235198975,0.0009975433349609375,29787
12,/home/projects/bagon/shared/imagenet512/val/n01756291/ILSVRC2012_val_00024609.JPEG,886,56.04550647735596,0.0009946823120117188,29824
13,/home/projects/bagon/shared/imagenet512/val/n03498962/ILSVRC2012_val_00011994.JPEG,752,84.30054664611816,0.0009918212890625,29980
14,/home/projects/bagon/shared/imagenet512/val/n03146219/ILSVRC2012_val_00048085.JPEG,1355,119.32102966308594,0.0009927749633789062,30197
15,/home/projects/bagon/shared/imagenet512/val/n09256479/ILSVRC2012_val_00002973.JPEG,383,36.732218742370605,0.000988006591796875,30264
16,/home/projects/bagon/shared/imagenet512/val/n07892512/ILSVRC2012_val_00024439.JPEG,325,103.71539974212646,0.0009975433349609375,30283
17,/home/projects/bagon/shared/imagenet512/val/n02641379/ILSVRC2012_val_00045405.JPEG,599,361.36853885650635,0.00099945068359375,30746
18,/home/projects/bagon/shared/imagenet512/val/n02447366/ILSVRC2012_val_00004409.JPEG,300,14.903520584106445,0.0009946823120117188,31370
19,/home/projects/bagon/shared/imagenet512/val/n02777292/ILSVRC2012_val_00003803.JPEG,531,55.04872226715088,0.0009946823120117188,31972
20,/home/projects/bagon/shared/imagenet512/val/n02093754/ILSVRC2012_val_00027805.JPEG,399,128.17889499664307,0.0009984970092773438,32500
21,/home/projects/bagon/shared/imagenet512/val/n04591157/ILSVRC2012_val_00021972.JPEG,227,30.735849380493164,0.0009975433349609375,32664
22,/home/projects/bagon/shared/imagenet512/val/n07749582/ILSVRC2012_val_00002363.JPEG,447,15.911582946777344,0.0009975433349609375,32771
23,/home/projects/bagon/shared/imagenet512/val/n01582220/ILSVRC2012_val_00009981.JPEG,490,58.155107498168945,0.0009946823120117188,33733
24,/home/projects/bagon/shared/imagenet512/val/n04371430/ILSVRC2012_val_00036018.JPEG,585,167.449312210083,0.0009851455688476562,33937
25,/home/projects/bagon/shared/imagenet512/val/n15075141/ILSVRC2012_val_00021975.JPEG,610,169.7574167251587,0.0009899139404296875,34466
26,/home/projects/bagon/shared/imagenet512/val/n03124170/ILSVRC2012_val_00025254.JPEG,330,13.089921951293945,0.00099945068359375,34577
27,/home/projects/bagon/shared/imagenet512/val/n02089973/ILSVRC2012_val_00043580.JPEG,1054,120.73823642730713,0.000995635986328125,34646
28,/home/projects/bagon/shared/imagenet512/val/n02095889/ILSVRC2012_val_00030377.JPEG,488,63.4760103225708,0.0009984970092773438,34721
29,/home/projects/bagon/shared/imagenet512/val/n04264628/ILSVRC2012_val_00005029.JPEG,457,39.17336177825928,0.0009984970092773438,34865
30,/home/projects/bagon/shared/imagenet512/val/n04141327/ILSVRC2012_val_00029485.JPEG,521,51.30771064758301,0.0009908676147460938,35017
31,/home/projects/bagon/shared/imagenet512/val/n07742313/ILSVRC2012_val_00000727.JPEG,519,315.12708568573,0.000995635986328125,35024
32,/home/projects/bagon/shared/imagenet512/val/n03424325/ILSVRC2012_val_00043852.JPEG,669,164.08348274230957,0.0009946823120117188,35400
33,/home/projects/bagon/shared/imagenet512/val/n03188531/ILSVRC2012_val_00024495.JPEG,786,230.5740785598755,0.0009965896606445312,35971
34,/home/projects/bagon/shared/imagenet512/val/n03933933/ILSVRC2012_val_00014898.JPEG,688,115.08985233306885,0.000995635986328125,36282
35,/home/projects/bagon/shared/imagenet512/val/n03891251/ILSVRC2012_val_00027250.JPEG,382,229.96785259246826,0.0009937286376953125,36358
36,/home/projects/bagon/shared/imagenet512/val/n03032252/ILSVRC2012_val_00034810.JPEG,363,39.03759956359863,0.0009984970092773438,36360
37,/home/projects/bagon/shared/imagenet512/val/n04209133/ILSVRC2012_val_00036943.JPEG,341,343.9545202255249,0.0009984970092773438,36364
38,/home/projects/bagon/shared/imagenet512/val/n03141823/ILSVRC2012_val_00044883.JPEG,333,122.03071975708008,0.0009918212890625,36651
39,/home/projects/bagon/shared/imagenet512/val/n09472597/ILSVRC2012_val_00036278.JPEG,219,42.138671875,0.0009965896606445312,36743
40,/home/projects/bagon/shared/imagenet512/val/n03929855/ILSVRC2012_val_00001723.JPEG,251,32.32935810089111,0.0009965896606445312,37868
41,/home/projects/bagon/shared/imagenet512/val/n01632458/ILSVRC2012_val_00049103.JPEG,569,139.552716255188,0.0009965896606445312,37960
42,/home/projects/bagon/shared/imagenet512/val/n07932039/ILSVRC2012_val_00044539.JPEG,528,25.685561180114746,0.00099945068359375,38045
43,/home/projects/bagon/shared/imagenet512/val/n02799071/ILSVRC2012_val_00017083.JPEG,444,140.56195163726807,0.0009975433349609375,38313
44,/home/projects/bagon/shared/imagenet512/val/n02074367/ILSVRC2012_val_00028337.JPEG,305,81.8734188079834,0.0009937286376953125,38416
45,/home/projects/bagon/shared/imagenet512/val/n03100240/ILSVRC2012_val_00027508.JPEG,1029,77.73168087005615,0.00099945068359375,38481
46,/home/projects/bagon/shared/imagenet512/val/n01698640/ILSVRC2012_val_00048828.JPEG,249,19.426844596862793,0.0009927749633789062,38551
47,/home/projects/bagon/shared/imagenet512/val/n02841315/ILSVRC2012_val_00005526.JPEG,575,232.78326320648193,0.0009984970092773438,38673
48,/home/projects/bagon/shared/imagenet512/val/n01697457/ILSVRC2012_val_00043428.JPEG,341,93.80607032775879,0.0009927749633789062,38874
49,/home/projects/bagon/shared/imagenet512/val/n03000684/ILSVRC2012_val_00026061.JPEG,155,56.06259059906006,0.000988006591796875,38913
50,/home/projects/bagon/shared/imagenet512/val/n04532106/ILSVRC2012_val_00031518.JPEG,405,109.3888807296753,0.0009975433349609375,38916
51,/home/projects/bagon/shared/imagenet512/val/n02747177/ILSVRC2012_val_00049367.JPEG,390,72.98378086090088,0.0009946823120117188,39837
52,/home/projects/bagon/shared/imagenet512/val/n02088094/ILSVRC2012_val_00032668.JPEG,290,179.04653453826904,0.0009984970092773438,39889
53,/home/projects/bagon/shared/imagenet512/val/n01798484/ILSVRC2012_val_00045043.JPEG,409,7.191498756408691,0.00099945068359375,39904
54,/home/projects/bagon/shared/imagenet512/val/n02504013/ILSVRC2012_val_00048547.JPEG,427,47.05912494659424,0.0009984970092773438,40490
55,/home/projects/bagon/shared/imagenet512/val/n02791124/ILSVRC2012_val_00044898.JPEG,580,51.40536117553711,0.000980377197265625,40576
56,/home/projects/bagon/shared/imagenet512/val/n01749939/ILSVRC2012_val_00049542.JPEG,466,25.75026512145996,0.0009946823120117188,40711
57,/home/projects/bagon/shared/imagenet512/val/n04356056/ILSVRC2012_val_00048182.JPEG,1285,95.33392143249512,0.00099945068359375,41674
58,/home/projects/bagon/shared/imagenet512/val/n03404251/ILSVRC2012_val_00036931.JPEG,336,64.08984375,0.0009908676147460938,42303
59,/home/projects/bagon/shared/imagenet512/val/n02110185/ILSVRC2012_val_00024432.JPEG,927,74.31119537353516,0.0009946823120117188,42474
60,/home/projects/bagon/shared/imagenet512/val/n04479046/ILSVRC2012_val_00021687.JPEG,812,613.8145713806152,0.000988006591796875,42481
61,/home/projects/bagon/shared/imagenet512/val/n02783161/ILSVRC2012_val_00025837.JPEG,785,143.81522178649902,0.0009975433349609375,42610
62,/home/projects/bagon/shared/imagenet512/val/n04479046/ILSVRC2012_val_00026753.JPEG,544,62.86836338043213,0.0009975433349609375,42790
63,/home/projects/bagon/shared/imagenet512/val/n04347754/ILSVRC2012_val_00024807.JPEG,430,265.80767345428467,0.0009908676147460938,43110
