universal_difficulty_rank,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,softmax_wasserstein,grad_mass_wasserstein,global_linear_cka,num_contributing_models
21517,247.0,52.22830581665038,0.0009727478027343501,0.02150817784841645,0.5814292992627139,0.0622187575035725,0.9974284173614696,2
21812,605.0,92.5164852142334,0.000986099243164,0.0407111761918608,0.7547812566070065,0.22246869757481536,0.9961165194431245,2
22479,311.5,28.761852264404297,0.00098419189453125,0.024091835397035098,0.3452986915607615,0.061771851352088805,0.9981439718894518,2
23588,226.0,21.554813385009766,0.0009651184082031,0.01848909824073345,0.3358669629601888,0.057512960038686944,0.9984347026495151,2
23740,328.0,7.392845153808595,0.0009613037109374499,0.0228769156740688,0.13419880040652776,0.12218018829855584,0.9989427168560451,2
23774,688.0,157.3633270263672,0.0009803771972655998,0.049873882873690795,0.8055942087583181,0.25253913161824065,0.9923329041077333,2
24729,1485.0,114.45216941833496,0.00097846984863275,0.07088911369989565,0.6172839403452339,0.23583808720417665,0.990514134578903,2
25187,821.5,240.5117950439453,0.0009727478027343501,0.047210361858070496,0.9704915143824895,0.11425653998383806,0.9941440679889062,2
25318,706.5,536.9133834838867,0.00097274780273435,0.04571500708153295,0.9944531749922096,0.2031113946749554,0.9927756686063018,2
25455,561.0,184.41593170166016,0.00091552734375,0.039543518341602454,0.8953955789165061,0.10674892114098475,0.9903402689390524,2
25489,385.5,76.92964935302734,0.0009880065917968498,0.03125091155448495,0.7345654793893277,0.09069717377970475,0.995460624789912,2
25546,289.0,24.453908920288086,0.0009632110595702499,0.023814761957654,0.440968588229927,0.11670008677485486,0.9974701577562666,2
25910,797.5,600.6569995880127,0.0009365081787109,0.057931976652477346,0.9876006145644836,0.12713142265086946,0.9894003173759348,2
25920,612.5,210.04359817504883,0.0009651184082031,0.0398167088249034,0.9236785558847782,0.2214710388798477,0.9930166692320314,2
25922,257.5,20.66438102722168,0.0009822845458984,0.0196403975559492,0.2916855271462122,0.0430389168376189,0.998434791430878,2
25933,439.5,255.68790245056152,0.000925064086914,0.0347203853847081,0.9741719886547233,0.1999505038456557,0.995721000954273,2
25964,816.0,156.21879386901855,0.0009670257568359,0.05257698691558555,0.7812924016312728,0.1692473762303338,0.99428969812858,2
26400,411.5,85.24877548217773,0.0009727478027343501,0.033617153231438,0.703376585938625,0.1355243501631129,0.9978641321641375,2
26419,459.0,329.8595962524414,0.0009994506835937,0.0391653808227279,0.973461614336534,0.0991130750254719,0.9937607281923533,2
27327,655.5,268.4321460723877,0.0009708404541015,0.04765619826222235,0.8999972570572708,0.0991018672133627,0.9901490571203271,2
27701,616.0,120.45795631408691,0.0009822845458984,0.03972934177100655,0.8436785738789379,0.32202944947580336,0.9940105807516725,2
27858,805.0,201.14130783081055,0.00096893310546875,0.055584940398383895,0.8143613898908675,0.10522429119958039,0.9928852397734453,2
28085,318.0,24.348026275634766,0.00093078613281245,0.0252648065747996,0.41212257441327715,0.0327270716235967,0.9980709762004641,2
28287,810.5,82.35594367980957,0.00094795227050775,0.0418139762132149,0.7030505163574704,0.28100043744130687,0.9954110810000638,2
28630,251.0,4.153343200683594,0.0009880065917968498,0.01818147474124275,0.09044719198823291,0.040663919633531345,0.9990248537070296,2
28888,842.5,176.68079948425293,0.0009517669677734,0.05497796989039565,0.8454869370362222,0.3791199067032124,0.992331206252641,2
28900,232.0,3.141996383666992,0.0009708404541014999,0.01614395370501475,0.06729568902286084,0.0824208149837631,0.9993998564079752,2
28993,636.5,199.83109664916992,0.0009384155273436999,0.04787791607175715,0.8608382836838929,0.07957318424601226,0.9926807936549518,2
29038,432.5,11.212751388549805,0.0009670257568359,0.02643970394201315,0.21230691641938698,0.23322354996225705,0.9959154118643854,2
29432,449.0,128.53729248046875,0.0009918212890625,0.035726001343146,0.8671017179741507,0.07693988634812204,0.9959232718874826,2
29704,477.0,56.24639129638672,0.0009002685546875,0.0350372016981549,0.5800703997314189,0.14459726102647324,0.9961936536839386,2
29856,94.0,5.753509521484375,0.0009689331054686999,0.00798407753059465,0.19122989040782185,0.01461355680977245,0.999786816513774,2
29889,553.5,69.14775848388672,0.0009994506835937,0.03852777964888985,0.6521792356002887,0.18609003973459545,0.9967303447698446,2
29962,675.5,706.3369407653809,0.0009880065917968498,0.0537418466031073,0.9882829032339358,0.09717156780141399,0.9884878522495362,2
30227,511.0,7.071704864501953,0.0009689331054686999,0.02922789788278875,0.0952696279592411,0.13603636621632656,0.998256181286551,2
30241,508.5,31.75969123840332,0.00095939636230465,0.0345291817996822,0.3996332409773836,0.048472334389125,0.9966433561058281,2
31379,961.0,347.3189468383789,0.0009880065917968498,0.0639044118128897,0.9355581573425142,0.10699268578064836,0.9929293130553036,2
31475,960.0,166.33070373535156,0.0009956359863280998,0.05663204079585655,0.8445622120463677,0.25242162468351026,0.9895061228643458,2
31578,476.5,54.43234825134277,0.0009365081787109,0.032615198693789996,0.4448585846333958,0.12198566443712,0.9970758043815574,2
31969,622.5,111.66164779663086,0.0009498596191406001,0.04264051024721145,0.765127570854903,0.18565134552063156,0.9952902086138654,2
31996,1263.0,142.5867099761963,0.000925064086914,0.0753268681746038,0.5779725547584523,0.22769786150820975,0.9897774593184856,2
32077,499.0,217.18385696411133,0.0009689331054686999,0.0395297525692542,0.9335665530913324,0.0624846859299409,0.9981682214301297,2
32657,692.0,236.11002349853516,0.0009765625,0.049062295586878094,0.9203277647557653,0.1357971811890353,0.9946359689802284,2
32722,374.0,209.02020454406738,0.00094413757324215,0.03318068978545635,0.9417494897244842,0.023076675508261802,0.995522662796684,2
32853,645.0,59.39521408081055,0.0009574890136718,0.0437816981578439,0.47892627481640215,0.11420144110065394,0.9940853082016556,2
33169,655.0,206.57605743408203,0.0009880065917968498,0.0501809658479895,0.8472580958571705,0.08530880014643795,0.9959747809499768,2
33603,271.0,29.333290100097656,0.00092697143554685,0.0231324559469547,0.5162436865320467,0.054176292723017,0.9985932188507631,2
33961,468.5,140.45262145996094,0.0009422302246093501,0.036812160283416745,0.7986948885380825,0.1128625306082225,0.9949043790294883,2
34127,666.5,667.3095359802246,0.0009422302246093501,0.049588769181085304,0.9926554867301425,0.09670918437050416,0.9897509563274438,2
34161,432.0,359.62001037597656,0.0009841918945312,0.0366868355582039,0.9799706277807714,0.0742366515588168,0.994847197914152,2
34346,405.5,50.35001945495605,0.0009555816650389999,0.029842208831270048,0.47321626595096117,0.2373955163913541,0.9972336342925741,2
34486,561.5,312.10235023498535,0.00097846984863275,0.043481835123318255,0.9273374754947652,0.1051126036610101,0.9920381955495907,2
34744,579.5,134.02369117736816,0.00095939636230465,0.0409146262703104,0.6687863544470692,0.24515736990769074,0.9962162097527105,2
