rank,num_true,num_models,acc_percent,image_path
10710,114,1023,11.144,10710_acc11.1_77698bb9abe34f0.png
10162,145,1023,14.174,10162_acc14.2_f52bbd66822a4e0.png
16344,1,1023,0.098,16344_acc0.1_76fc7137bea5441.png
5317,647,1023,63.245,5317_acc63.2_c5dcaae3aa0e4a9.png
6557,495,1023,48.387,6557_acc48.4_9c565e0879ca440.png
13875,18,1023,1.760,13875_acc1.8_ff88dd9c33ac499.png
7759,353,1023,34.506,7759_acc34.5_effc25a8c85b479.png
388,1021,1023,99.804,388_acc99.8_a6c8e3cd3d82466.png
8287,300,1023,29.326,8287_acc29.3_d2dc594e28ed42f.png
12603,44,1023,4.301,12603_acc4.3_a1ec551a23ef48e.png
15775,2,1023,0.196,15775_acc0.2_ffcedb7c32d245d.png
6205,540,1023,52.786,6205_acc52.8_e3b8f417f050454.png
9958,157,1023,15.347,9958_acc15.3_b521cc48dc02429.png
12470,48,1023,4.692,12470_acc4.7_7580338bddd7478.png
9995,155,1023,15.152,9995_acc15.2_70b394606e2d4b0.png
9322,205,1023,20.039,9322_acc20.0_44451c3298494e1.png
14708,9,1023,0.880,14708_acc0.9_583fa5d972e9489.png
14918,7,1023,0.684,14918_acc0.7_ff63a90c5324411.png
3742,827,1023,80.841,3742_acc80.8_7d90df04786a42f.png
13462,25,1023,2.444,13462_acc2.4_8b23a2bb11b9442.png
13539,24,1023,2.346,13539_acc2.3_c027b240ede7475.png
8743,255,1023,24.927,8743_acc24.9_5c6d8a1d46bd4e2.png
3725,829,1023,81.036,3725_acc81.0_d12e29d1aa10498.png
10181,144,1023,14.076,10181_acc14.1_14cf550a8cbb4b0.png
15600,3,1023,0.293,15600_acc0.3_bddc2ff4018544b.png
5753,592,1023,57.869,5753_acc57.9_a932052d89b448e.png
7099,431,1023,42.131,7099_acc42.1_2f945a8057cc462.png
255,1022,1023,99.902,255_acc99.9_c74e9e26757e47d.png
8840,246,1023,24.047,8840_acc24.0_e02280bd28bb411.png
14887,7,1023,0.684,14887_acc0.7_bacbfefdf2ff40f.png
9654,179,1023,17.498,9654_acc17.5_c200dbc7590e468.png
8250,304,1023,29.717,8250_acc29.7_810177b89043435.png
3311,869,1023,84.946,3311_acc84.9_d5796f873de74f7.png
5047,678,1023,66.276,5047_acc66.3_00e283268a1b486.png
41,1023,1023,100.000,41_acc100.0_a8cdb90d649b4fd.png
918,1010,1023,98.729,918_acc98.7_55c7b58a6bd9426.png
10555,121,1023,11.828,10555_acc11.8_46c9bacfa4c0470.png
6519,500,1023,48.876,6519_acc48.9_4a51668babc14f1.png
8513,278,1023,27.175,8513_acc27.2_44514b7cfa10443.png
