path,first_correct_step
/home/projects/bagon/shared/imagenet512/val/n03623198/ILSVRC2012_val_00045631.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04254777/ILSVRC2012_val_00010318.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03535780/ILSVRC2012_val_00023456.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02892201/ILSVRC2012_val_00049619.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02115641/ILSVRC2012_val_00011750.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01978287/ILSVRC2012_val_00003074.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02363005/ILSVRC2012_val_00037704.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n07880968/ILSVRC2012_val_00023364.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04208210/ILSVRC2012_val_00047070.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02097209/ILSVRC2012_val_00027268.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04442312/ILSVRC2012_val_00004906.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03710721/ILSVRC2012_val_00010063.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02484975/ILSVRC2012_val_00039838.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03089624/ILSVRC2012_val_00041572.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04317175/ILSVRC2012_val_00021595.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02099267/ILSVRC2012_val_00034920.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04532670/ILSVRC2012_val_00045309.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02727426/ILSVRC2012_val_00025646.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03599486/ILSVRC2012_val_00011595.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01828970/ILSVRC2012_val_00046307.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01665541/ILSVRC2012_val_00044755.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n07716906/ILSVRC2012_val_00010743.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02105056/ILSVRC2012_val_00007235.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01985128/ILSVRC2012_val_00027920.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02098286/ILSVRC2012_val_00041358.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02107312/ILSVRC2012_val_00032419.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01698640/ILSVRC2012_val_00049732.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03000684/ILSVRC2012_val_00006726.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02441942/ILSVRC2012_val_00002874.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04111531/ILSVRC2012_val_00038775.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03481172/ILSVRC2012_val_00038221.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02102040/ILSVRC2012_val_00004548.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n04125021/ILSVRC2012_val_00037895.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n07754684/ILSVRC2012_val_00034350.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03347037/ILSVRC2012_val_00044219.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02109047/ILSVRC2012_val_00018866.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n07720875/ILSVRC2012_val_00031647.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n01797886/ILSVRC2012_val_00041329.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03873416/ILSVRC2012_val_00004792.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n02093754/ILSVRC2012_val_00041569.JPEG,-1
/home/projects/bagon/shared/imagenet512/val/n03724870/ILSVRC2012_val_00001303.JPEG,-1
