wnid,label,rank,image_path
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",1768,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00044641.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",5490,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00024720.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",9151,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00037314.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",9700,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00011001.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",10428,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00000640.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",10830,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00000109.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",15845,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00024225.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",16175,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00010819.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",17055,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00023671.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",17408,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00016702.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",18153,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00005562.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",18770,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00040815.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",19246,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00041707.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",20120,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00002577.JPEG"
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",20591,"/home/projects/bagon/shared/imagenet512/val/n03691459/ILSVRC2012_val_00002533.JPEG"
