iter	Passed	Remaining
0	9	14441
1	19	14425
2	25	12967
3	38	14506
4	45	13570
5	54	13650
6	55	11901
7	67	12597
8	74	12261
9	85	12748
10	92	12493
11	102	12699
12	108	12422
13	118	12573
14	125	12383
15	136	12663
16	145	12656
17	152	12519
18	161	12561
19	169	12514
20	178	12557
21	185	12436
22	195	12535
23	201	12400
24	210	12403
25	218	12375
26	227	12387
27	234	12307
28	244	12417
29	251	12300
30	260	12360
31	266	12242
32	275	12268
33	282	12182
34	291	12180
35	298	12130
36	307	12142
37	316	12174
38	328	12290
39	335	12230
40	345	12311
41	352	12250
42	360	12219
43	366	12136
44	376	12174
45	385	12188
46	392	12137
47	398	12066
48	409	12120
49	415	12049
50	425	12078
51	432	12032
52	440	12019
53	448	12012
54	455	11970
55	464	11978
56	471	11938
57	477	11882
58	487	11908
59	496	11915
60	504	11896
61	510	11840
62	517	11811
63	524	11765
64	533	11780
65	539	11727
66	549	11760
67	556	11716
68	566	11749
69	572	11702
70	582	11727
71	592	11744
72	600	11734
73	608	11733
74	619	11762
75	629	11785
76	635	11739
77	646	11779
78	652	11743
79	665	11817
80	676	11844
81	682	11809
82	693	11844
83	699	11795
84	710	11830
85	717	11798
86	727	11819
87	733	11776
88	744	11798
89	750	11760
90	760	11776
91	767	11739
92	777	11761
93	783	11717
94	793	11740
95	803	11755
96	810	11722
97	819	11725
98	828	11725
99	838	11742
100	845	11707
101	856	11741
102	864	11727
103	877	11772
104	886	11783
105	893	11754
106	903	11760
107	909	11724
108	919	11731
109	926	11705
110	938	11742
111	945	11721
112	957	11748
113	968	11773
114	975	11749
115	986	11775
116	993	11747
117	1007	11796
118	1018	11819
119	1025	11791
120	1035	11805
121	1042	11772
122	1056	11830
123	1088	12073
124	1107	12181
125	1134	12370
126	1153	12474
127	1185	12709
128	1207	12837
129	1224	12899
130	1237	12934
131	1255	13006
132	1271	13068
133	1297	13225
134	1313	13284
135	1337	13416
136	1364	13574
137	1384	13664
138	1413	13840
139	1439	13979
140	1456	14034
141	1465	14019
142	1477	14025
143	1487	14003
144	1496	13980
145	1505	13965
146	1516	13959
147	1530	13980
148	1544	14004
149	1567	14103
150	1587	14182
151	1605	14242
152	1638	14425
153	1667	14575
154	1684	14613
155	1690	14562
156	1701	14552
157	1707	14500
158	1717	14481
159	1723	14432
160	1733	14413
161	1739	14364
162	1749	14351
163	1756	14306
164	1766	14289
165	1772	14244
166	1783	14232
167	1789	14187
168	1799	14173
169	1806	14137
170	1816	14115
171	1822	14072
172	1833	14063
173	1845	14062
174	1852	14028
175	1863	14018
176	1869	13975
177	1879	13962
178	1886	13919
179	1896	13906
180	1902	13864
181	1913	13853
182	1919	13817
183	1930	13805
184	1936	13767
185	1946	13750
186	1952	13712
187	1963	13699
188	1972	13684
189	1979	13648
190	1989	13633
191	1997	13606
192	2009	13609
193	2026	13643
194	2038	13639
195	2053	13663
196	2066	13667
197	2079	13676
198	2094	13696
199	2107	13698
200	2118	13690
201	2126	13662
202	2136	13652
203	2144	13622
204	2154	13612
205	2161	13578
206	2172	13570
207	2181	13549
208	2190	13530
209	2202	13529
210	2209	13499
211	2219	13486
212	2226	13455
213	2235	13432
214	2241	13397
215	2253	13395
216	2263	13383
217	2270	13350
218	2281	13345
219	2288	13312
220	2298	13299
221	2305	13269
222	2316	13263
223	2325	13246
224	2333	13221
225	2343	13209
226	2351	13184
227	2361	13174
228	2367	13142
229	2379	13136
230	2386	13109
231	2396	13098
232	2403	13069
233	2414	13060
234	2421	13033
235	2429	13012
236	2440	13004
237	2448	12981
238	2458	12972
239	2467	12952
240	2477	12942
241	2483	12911
242	2493	12899
243	2499	12868
244	2510	12862
245	2518	12836
246	2526	12816
247	2533	12788
248	2541	12768
249	2547	12739
250	2557	12728
251	2566	12710
252	2573	12686
253	2580	12657
254	2588	12638
255	2597	12621
256	2604	12597
257	2613	12583
258	2621	12560
259	2630	12545
260	2637	12520
261	2647	12507
262	2653	12482
263	2662	12466
264	2670	12445
265	2679	12431
266	2686	12406
267	2696	12394
268	2702	12366
269	2710	12349
270	2718	12327
271	2724	12299
272	2734	12289
273	2740	12261
274	2751	12256
275	2759	12239
276	2766	12215
277	2773	12189
278	2782	12177
279	2788	12149
280	2798	12141
281	2805	12115
282	2814	12104
283	2821	12079
284	2831	12071
285	2838	12046
286	2847	12035
287	2853	12009
288	2863	12000
289	2870	11975
290	2877	11954
291	2883	11929
292	2894	11922
293	2902	11906
294	2909	11884
295	2915	11860
296	2925	11849
297	2931	11824
298	2942	11819
299	2949	11797
300	2956	11776
301	2962	11753
302	2972	11743
303	2978	11718
304	2988	11710
305	2994	11686
306	3005	11678
307	3011	11653
308	3021	11646
309	3027	11622
310	3037	11613
311	3044	11590
312	3054	11582
313	3066	11582
314	3073	11562
315	3083	11551
316	3090	11534
317	3100	11523
318	3108	11506
319	3118	11501
320	3125	11479
321	3139	11484
322	3150	11479
323	3157	11459
324	3168	11455
325	3175	11434
326	3181	11413
327	3191	11404
328	3199	11386
329	3209	11379
330	3215	11357
331	3225	11346
332	3231	11324
333	3239	11310
334	3245	11288
335	3252	11267
336	3259	11247
337	3265	11225
338	3275	11217
339	3281	11196
340	3292	11191
341	3305	11192
342	3313	11177
343	3328	11185
344	3338	11178
345	3345	11158
346	3355	11149
347	3361	11128
348	3372	11122
349	3379	11103
350	3389	11094
351	3395	11073
352	3406	11069
353	3416	11059
354	3423	11041
355	3432	11031
356	3439	11012
357	3448	11001
358	3455	10982
359	3464	10971
360	3471	10953
361	3480	10940
362	3487	10924
363	3494	10904
364	3501	10888
365	3507	10867
366	3518	10860
367	3526	10847
368	3533	10830
369	3539	10810
370	3549	10801
371	3555	10782
372	3566	10775
373	3572	10755
374	3582	10746
375	3588	10727
