wnid,label,rank,image_path
n03452741,"grand piano, grand",2581,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00021661.JPEG"
n03452741,"grand piano, grand",5095,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00047672.JPEG"
n03452741,"grand piano, grand",5620,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00016899.JPEG"
n03452741,"grand piano, grand",6089,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00007940.JPEG"
n03452741,"grand piano, grand",6262,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00029617.JPEG"
n03452741,"grand piano, grand",6334,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00037936.JPEG"
n03452741,"grand piano, grand",7155,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00018954.JPEG"
n03452741,"grand piano, grand",7344,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00025572.JPEG"
n03452741,"grand piano, grand",8410,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00007450.JPEG"
n03452741,"grand piano, grand",9090,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00021190.JPEG"
n03452741,"grand piano, grand",10657,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00020812.JPEG"
n03452741,"grand piano, grand",11759,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00037045.JPEG"
n03452741,"grand piano, grand",12240,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00006036.JPEG"
n03452741,"grand piano, grand",13416,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00019981.JPEG"
n03452741,"grand piano, grand",13804,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00013511.JPEG"
n03452741,"grand piano, grand",13855,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00034629.JPEG"
n03452741,"grand piano, grand",14646,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00021695.JPEG"
n03452741,"grand piano, grand",15029,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00018721.JPEG"
n03452741,"grand piano, grand",16629,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00032387.JPEG"
n03452741,"grand piano, grand",17531,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00032753.JPEG"
n03452741,"grand piano, grand",17644,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00028864.JPEG"
n03452741,"grand piano, grand",18512,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00002690.JPEG"
n03452741,"grand piano, grand",18879,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00011986.JPEG"
n03452741,"grand piano, grand",19936,"/home/projects/bagon/shared/imagenet512/val/n03452741/ILSVRC2012_val_00001017.JPEG"
