rank,num_true,num_models,acc_percent,image_path
7991,328,1023,32.063,7991_acc32.1_fd2832f51ef1489.png
976,1008,1023,98.534,976_acc98.5_57ea2a6f1b2a4d2.png
1487,990,1023,96.774,1487_acc96.8_718338685112423.png
3989,802,1023,78.397,3989_acc78.4_a59668f429904d7.png
64,1023,1023,100.000,64_acc100.0_f2acba1ad9ac4a8.png
3699,831,1023,81.232,3699_acc81.2_27452fdb7d1c4f8.png
6510,501,1023,48.974,6510_acc49.0_ba5408f546ff4aa.png
1079,1005,1023,98.240,1079_acc98.2_0d67bdd3258842e.png
470,1020,1023,99.707,470_acc99.7_330d626676fd455.png
7129,428,1023,41.838,7129_acc41.8_36a075f804ed4a9.png
888,1011,1023,98.827,888_acc98.8_8a54b3d4d81348c.png
14535,10,1023,0.978,14535_acc1.0_0009da3a65f44e9.png
7664,362,1023,35.386,7664_acc35.4_cb2006bdd7f8452.png
6393,517,1023,50.538,6393_acc50.5_57a89af5f0f544c.png
3227,878,1023,85.826,3227_acc85.8_f6a3b7f32d76475.png
4988,687,1023,67.155,4988_acc67.2_b1d73013315a48f.png
7650,364,1023,35.582,7650_acc35.6_629d4e62f9574fe.png
3108,889,1023,86.901,3108_acc86.9_0ad8b52fd6cc470.png
9198,215,1023,21.017,9198_acc21.0_2e226c145e4d454.png
7051,435,1023,42.522,7051_acc42.5_9895a451b14c417.png
11232,90,1023,8.798,11232_acc8.8_1a4a29b59e77443.png
437,1020,1023,99.707,437_acc99.7_2c3e0da23f0f4fa.png
2844,909,1023,88.856,2844_acc88.9_d5344504752d47f.png
3453,855,1023,83.578,3453_acc83.6_2cb4915f2c2044b.png
3563,843,1023,82.405,3563_acc82.4_4b835579cf13494.png
7061,435,1023,42.522,7061_acc42.5_3ec0698e686a45e.png
3487,852,1023,83.284,3487_acc83.3_1c2774147dfb406.png
464,1020,1023,99.707,464_acc99.7_85ba4318f349413.png
10828,109,1023,10.655,10828_acc10.7_3d800e3481c1407.png
701,1015,1023,99.218,701_acc99.2_53ec281cc0ca486.png
656,1016,1023,99.316,656_acc99.3_555ba49299a140e.png
6000,562,1023,54.936,6000_acc54.9_16ee25bede18467.png
571,1018,1023,99.511,571_acc99.5_509dcb39246448f.png
10559,121,1023,11.828,10559_acc11.8_36d4cf5934f04d7.png
3933,807,1023,78.886,3933_acc78.9_570d50c3438b4a3.png
4817,709,1023,69.306,4817_acc69.3_8b33a62ca6b948e.png
4098,790,1023,77.224,4098_acc77.2_deab699f8c8c43e.png
7587,373,1023,36.461,7587_acc36.5_dd06cd3a6de44eb.png
7489,385,1023,37.634,7489_acc37.6_aef4cac030cb442.png
10581,120,1023,11.730,10581_acc11.7_f08c24a4314a414.png
9920,159,1023,15.543,9920_acc15.5_5134f60ee43949e.png
6984,443,1023,43.304,6984_acc43.3_a31f04c1eeac4f2.png
1741,977,1023,95.503,1741_acc95.5_c24c35523f3d443.png
1908,969,1023,94.721,1908_acc94.7_775315ee69c34fe.png
932,1009,1023,98.631,932_acc98.6_c58acec86fa44d5.png
2618,926,1023,90.518,2618_acc90.5_177256ef48e346e.png
6046,558,1023,54.545,6046_acc54.5_1355ab5dd57147e.png
5745,593,1023,57.967,5745_acc58.0_ecaf5ebb0b05454.png
4295,769,1023,75.171,4295_acc75.2_810c75016c98426.png
2168,955,1023,93.353,2168_acc93.4_595288237c62425.png
1057,1006,1023,98.338,1057_acc98.3_42735e93600240c.png
3749,826,1023,80.743,3749_acc80.7_4f382925196641e.png
10094,149,1023,14.565,10094_acc14.6_73d2c8e179ad46b.png
1727,978,1023,95.601,1727_acc95.6_1f924cb0e57a464.png
1014,1007,1023,98.436,1014_acc98.4_72a1bf7c7341479.png
4516,744,1023,72.727,4516_acc72.7_2134f97d03014a0.png
9604,182,1023,17.791,9604_acc17.8_56315ecf06fd4f8.png
7039,436,1023,42.620,7039_acc42.6_11cb912c295e4f8.png
3963,804,1023,78.592,3963_acc78.6_ed9372a10fe742b.png
8798,250,1023,24.438,8798_acc24.4_0cf8b2fdfc15463.png
7583,374,1023,36.559,7583_acc36.6_dcdf14d79e0c425.png
682,1016,1023,99.316,682_acc99.3_dbda544ac63f453.png
801,1013,1023,99.022,801_acc99.0_1792def52cdd44f.png
9879,162,1023,15.836,9879_acc15.8_3f97ab7205194b2.png
4657,728,1023,71.163,4657_acc71.2_fd116c0a6e5a46a.png
803,1013,1023,99.022,803_acc99.0_9489bea2719440c.png
3826,818,1023,79.961,3826_acc80.0_8c939baf98fc459.png
4833,707,1023,69.110,4833_acc69.1_d348929fb807401.png
