example_index,path,steps_to_correct,universal_difficulty_rank
0,/home/projects/bagon/shared/imagenet512/val/n03920288/ILSVRC2012_val_00014555.JPEG,58,15117
1,/home/projects/bagon/shared/imagenet512/val/n02493793/ILSVRC2012_val_00035612.JPEG,38,15120
2,/home/projects/bagon/shared/imagenet512/val/n02077923/ILSVRC2012_val_00020975.JPEG,27,18453
3,/home/projects/bagon/shared/imagenet512/val/n07753275/ILSVRC2012_val_00020088.JPEG,31,18774
4,/home/projects/bagon/shared/imagenet512/val/n02727426/ILSVRC2012_val_00010085.JPEG,20,19567
5,/home/projects/bagon/shared/imagenet512/val/n02981792/ILSVRC2012_val_00032901.JPEG,38,19689
6,/home/projects/bagon/shared/imagenet512/val/n01440764/ILSVRC2012_val_00028158.JPEG,36,21211
7,/home/projects/bagon/shared/imagenet512/val/n01873310/ILSVRC2012_val_00000189.JPEG,26,21348
8,/home/projects/bagon/shared/imagenet512/val/n04273569/ILSVRC2012_val_00034468.JPEG,31,21739
9,/home/projects/bagon/shared/imagenet512/val/n03483316/ILSVRC2012_val_00034530.JPEG,8,21926
10,/home/projects/bagon/shared/imagenet512/val/n03759954/ILSVRC2012_val_00032691.JPEG,15,22377
11,/home/projects/bagon/shared/imagenet512/val/n04041544/ILSVRC2012_val_00017613.JPEG,25,22820
12,/home/projects/bagon/shared/imagenet512/val/n02113799/ILSVRC2012_val_00026858.JPEG,25,22976
13,/home/projects/bagon/shared/imagenet512/val/n02091134/ILSVRC2012_val_00041224.JPEG,22,23631
14,/home/projects/bagon/shared/imagenet512/val/n02410509/ILSVRC2012_val_00021781.JPEG,38,23968
15,/home/projects/bagon/shared/imagenet512/val/n03724870/ILSVRC2012_val_00029084.JPEG,11,24345
16,/home/projects/bagon/shared/imagenet512/val/n01498041/ILSVRC2012_val_00021793.JPEG,25,25141
17,/home/projects/bagon/shared/imagenet512/val/n03291819/ILSVRC2012_val_00026226.JPEG,57,25172
18,/home/projects/bagon/shared/imagenet512/val/n03250847/ILSVRC2012_val_00002037.JPEG,24,25173
19,/home/projects/bagon/shared/imagenet512/val/n02177972/ILSVRC2012_val_00025212.JPEG,31,25250
20,/home/projects/bagon/shared/imagenet512/val/n03764736/ILSVRC2012_val_00048918.JPEG,16,25439
21,/home/projects/bagon/shared/imagenet512/val/n02104029/ILSVRC2012_val_00006336.JPEG,30,25789
22,/home/projects/bagon/shared/imagenet512/val/n01632458/ILSVRC2012_val_00006264.JPEG,30,25901
