path,first_correct_step
/home/projects/bagon/shared/imagenet512/val/n02128925/ILSVRC2012_val_00025277.JPEG,7
/home/projects/bagon/shared/imagenet512/val/n02095570/ILSVRC2012_val_00042120.JPEG,14
/home/projects/bagon/shared/imagenet512/val/n02101388/ILSVRC2012_val_00022908.JPEG,12
/home/projects/bagon/shared/imagenet512/val/n02101556/ILSVRC2012_val_00015213.JPEG,4
/home/projects/bagon/shared/imagenet512/val/n02840245/ILSVRC2012_val_00018464.JPEG,15
/home/projects/bagon/shared/imagenet512/val/n07875152/ILSVRC2012_val_00014625.JPEG,42
/home/projects/bagon/shared/imagenet512/val/n03920288/ILSVRC2012_val_00014555.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n02108422/ILSVRC2012_val_00023105.JPEG,5
/home/projects/bagon/shared/imagenet512/val/n04509417/ILSVRC2012_val_00005520.JPEG,9
/home/projects/bagon/shared/imagenet512/val/n02493793/ILSVRC2012_val_00035612.JPEG,5
/home/projects/bagon/shared/imagenet512/val/n02840245/ILSVRC2012_val_00011362.JPEG,12
/home/projects/bagon/shared/imagenet512/val/n01687978/ILSVRC2012_val_00045976.JPEG,2
/home/projects/bagon/shared/imagenet512/val/n03627232/ILSVRC2012_val_00030434.JPEG,10
/home/projects/bagon/shared/imagenet512/val/n01687978/ILSVRC2012_val_00020538.JPEG,12
/home/projects/bagon/shared/imagenet512/val/n02112137/ILSVRC2012_val_00042148.JPEG,11
/home/projects/bagon/shared/imagenet512/val/n03535780/ILSVRC2012_val_00040403.JPEG,9
/home/projects/bagon/shared/imagenet512/val/n02002556/ILSVRC2012_val_00011357.JPEG,10
/home/projects/bagon/shared/imagenet512/val/n02111129/ILSVRC2012_val_00022950.JPEG,41
/home/projects/bagon/shared/imagenet512/val/n03970156/ILSVRC2012_val_00035780.JPEG,8
/home/projects/bagon/shared/imagenet512/val/n04409515/ILSVRC2012_val_00000653.JPEG,8
/home/projects/bagon/shared/imagenet512/val/n02105641/ILSVRC2012_val_00008885.JPEG,57
/home/projects/bagon/shared/imagenet512/val/n03379051/ILSVRC2012_val_00037567.JPEG,35
/home/projects/bagon/shared/imagenet512/val/n04507155/ILSVRC2012_val_00004816.JPEG,7
/home/projects/bagon/shared/imagenet512/val/n02113799/ILSVRC2012_val_00014975.JPEG,27
/home/projects/bagon/shared/imagenet512/val/n03459775/ILSVRC2012_val_00025624.JPEG,2
/home/projects/bagon/shared/imagenet512/val/n02177972/ILSVRC2012_val_00039589.JPEG,27
/home/projects/bagon/shared/imagenet512/val/n02108000/ILSVRC2012_val_00040582.JPEG,16
/home/projects/bagon/shared/imagenet512/val/n02077923/ILSVRC2012_val_00020975.JPEG,30
/home/projects/bagon/shared/imagenet512/val/n01740131/ILSVRC2012_val_00033547.JPEG,8
/home/projects/bagon/shared/imagenet512/val/n02883205/ILSVRC2012_val_00009483.JPEG,12
/home/projects/bagon/shared/imagenet512/val/n04033901/ILSVRC2012_val_00012128.JPEG,6
/home/projects/bagon/shared/imagenet512/val/n01817953/ILSVRC2012_val_00004503.JPEG,35
/home/projects/bagon/shared/imagenet512/val/n04067472/ILSVRC2012_val_00044794.JPEG,18
/home/projects/bagon/shared/imagenet512/val/n07615774/ILSVRC2012_val_00043039.JPEG,45
/home/projects/bagon/shared/imagenet512/val/n02483708/ILSVRC2012_val_00008134.JPEG,9
/home/projects/bagon/shared/imagenet512/val/n07753275/ILSVRC2012_val_00020088.JPEG,26
/home/projects/bagon/shared/imagenet512/val/n04476259/ILSVRC2012_val_00002884.JPEG,1
/home/projects/bagon/shared/imagenet512/val/n02939185/ILSVRC2012_val_00006325.JPEG,11
/home/projects/bagon/shared/imagenet512/val/n02097130/ILSVRC2012_val_00019500.JPEG,35
/home/projects/bagon/shared/imagenet512/val/n02128385/ILSVRC2012_val_00013002.JPEG,62
/home/projects/bagon/shared/imagenet512/val/n03764736/ILSVRC2012_val_00034285.JPEG,29
/home/projects/bagon/shared/imagenet512/val/n03485794/ILSVRC2012_val_00011796.JPEG,5
/home/projects/bagon/shared/imagenet512/val/n02177972/ILSVRC2012_val_00025754.JPEG,4
/home/projects/bagon/shared/imagenet512/val/n04162706/ILSVRC2012_val_00004653.JPEG,67
/home/projects/bagon/shared/imagenet512/val/n01698640/ILSVRC2012_val_00021236.JPEG,8
/home/projects/bagon/shared/imagenet512/val/n03388043/ILSVRC2012_val_00014682.JPEG,10
/home/projects/bagon/shared/imagenet512/val/n03769881/ILSVRC2012_val_00007633.JPEG,3
