iter	Passed	Remaining
0	30	36924
1	56	33891
2	83	33228
3	107	32246
4	138	33008
5	163	32515
6	185	31664
7	210	31393
8	238	31517
9	267	31813
10	289	31328
11	315	31206
12	344	31491
13	371	31467
14	395	31277
15	420	31137
16	451	31439
17	477	31378
18	505	31405
19	530	31282
20	559	31398
21	581	31123
22	606	31056
23	629	30865
24	657	30909
25	682	30827
26	708	30790
27	734	30741
28	766	30933
29	789	30784
30	814	30709
31	837	30560
32	865	30607
33	893	30643
34	919	30590
35	947	30650
36	975	30677
37	1001	30635
38	1025	30522
39	1049	30445
40	1078	30478
41	1107	30523
42	1132	30467
43	1157	30414
44	1189	30543
45	1213	30450
46	1237	30346
47	1264	30344
48	1288	30263
49	1315	30256
50	1347	30354
51	1370	30255
52	1397	30243
53	1423	30205
54	1448	30150
55	1474	30120
56	1505	30191
57	1532	30178
58	1558	30133
59	1580	30034
60	1613	30130
61	1640	30102
62	1666	30074
63	1691	30030
64	1723	30088
65	1749	30060
66	1772	29965
67	1797	29920
68	1826	29936
69	1855	29954
70	1878	29868
71	1907	29879
72	1937	29915
73	1960	29833
74	1990	29853
75	2019	29870
76	2044	29815
77	2070	29787
78	2096	29750
79	2123	29726
80	2150	29711
81	2174	29641
82	2200	29613
83	2230	29634
84	2257	29615
85	2285	29604
86	2307	29526
87	2338	29550
88	2361	29484
89	2389	29475
90	2415	29431
91	2442	29416
92	2467	29375
93	2493	29342
94	2519	29311
95	2548	29304
96	2571	29240
97	2597	29203
98	2619	29136
99	2649	29147
100	2672	29081
101	2698	29048
102	2724	29018
103	2754	29023
104	2780	29001
105	2806	28960
106	2832	28934
107	2860	28922
108	2885	28880
109	2912	28855
110	2938	28830
111	2964	28794
112	2992	28789
113	3015	28730
114	3045	28733
115	3075	28742
116	3099	28685
117	3127	28674
118	3149	28610
119	3173	28565
120	3203	28565
121	3228	28528
122	3254	28499
123	3282	28483
124	3308	28453
125	3336	28438
126	3359	28380
127	3388	28376
128	3410	28312
129	3435	28276
130	3463	28261
131	3505	28362
132	3535	28362
133	3561	28333
134	3588	28309
135	3617	28300
136	3644	28274
137	3672	28262
138	3705	28283
139	3731	28251
140	3754	28202
141	3780	28164
142	3808	28148
143	3836	28133
144	3859	28081
145	3884	28046
146	3913	28036
147	3939	27999
148	3962	27952
149	3989	27923
150	4023	27949
151	4050	27928
152	4076	27894
153	4100	27850
154	4130	27850
155	4154	27806
156	4180	27775
157	4204	27727
158	4235	27731
159	4258	27680
160	4284	27646
161	4310	27620
162	4340	27612
163	4365	27576
164	4389	27532
165	4417	27514
166	4446	27501
167	4472	27472
168	4497	27439
169	4523	27405
170	4551	27389
171	4578	27362
172	4600	27308
173	4625	27275
174	4653	27254
175	4678	27221
176	4703	27185
177	4731	27165
178	4757	27135
179	4781	27097
180	4804	27048
181	4835	27045
182	4866	27046
183	4890	27003
184	4918	26987
185	4944	26952
186	4974	26946
187	4996	26896
188	5021	26861
189	5046	26827
190	5074	26805
191	5100	26777
192	5126	26747
193	5148	26699
194	5176	26678
195	5198	26627
196	5231	26632
197	5259	26615
198	5289	26605
199	5315	26575
200	5338	26533
201	5364	26503
202	5393	26491
203	5420	26466
204	5443	26422
205	5472	26403
206	5502	26395
207	5526	26357
208	5549	26313
209	5575	26283
210	5606	26278
211	5631	26244
212	5657	26217
213	5683	26185
214	5712	26171
215	5736	26134
216	5761	26099
217	5784	26057
218	5812	26037
219	5838	26006
220	5862	25971
221	5889	25944
222	5916	25921
223	5938	25875
224	5964	25848
225	5987	25804
226	6016	25789
227	6039	25749
228	6067	25728
229	6092	25695
230	6121	25680
231	6147	25648
232	6171	25613
233	6194	25571
234	6225	25563
235	6252	25539
236	6275	25497
237	6304	25482
238	6331	25459
239	6362	25449
240	6384	25406
241	6410	25375
242	6437	25353
243	6462	25321
244	6491	25302
245	6517	25273
246	6547	25262
247	6571	25224
248	6596	25195
249	6622	25167
250	6653	25157
251	6682	25137
252	6708	25109
253	6734	25081
254	6761	25057
255	6785	25019
256	6813	25001
257	6843	24985
258	6866	24948
259	6897	24938
260	6920	24898
261	6945	24867
262	6971	24837
263	6997	24809
264	7023	24780
265	7050	24758
266	7077	24733
267	7103	24701
268	7125	24661
269	7155	24645
270	7182	24621
271	7213	24612
272	7239	24583
273	7270	24572
274	7300	24555
275	7323	24517
276	7351	24494
277	7379	24472
278	7407	24451
279	7431	24416
280	7464	24413
281	7494	24397
282	7517	24359
283	7544	24333
284	7572	24312
285	7597	24281
286	7623	24251
287	7649	24222
288	7674	24191
289	7705	24179
290	7728	24142
291	7754	24112
292	7782	24089
293	7809	24067
294	7836	24040
295	7859	24002
296	7890	23989
297	7913	23952
298	7939	23924
299	7962	23888
300	7987	23856
301	8016	23835
302	8041	23807
303	8067	23779
304	8099	23768
305	8123	23733
306	8148	23703
307	8170	23662
308	8201	23650
309	8225	23614
310	8251	23588
311	8280	23568
312	8327	23598
313	8355	23575
314	8381	23548
315	8411	23532
316	8438	23505
317	8465	23479
318	8493	23455
319	8524	23442
320	8550	23413
321	8576	23385
322	8603	23360
323	8635	23347
324	8659	23314
325	8687	23290
326	8712	23258
327	8742	23241
328	8768	23212
329	8796	23189
330	8821	23159
331	8849	23137
332	8877	23113
333	8901	23079
334	8929	23056
335	8959	23039
336	8985	23009
337	9014	22989
338	9042	22965
339	9067	22934
340	9095	22912
341	9122	22886
342	9151	22865
343	9180	22844
344	9209	22823
345	9235	22794
346	9264	22774
347	9290	22745
348	9316	22716
349	9347	22700
350	9379	22688
351	9409	22667
352	9438	22646
353	9466	22623
354	9492	22594
355	9519	22569
356	9544	22537
357	9571	22510
358	9600	22490
359	9628	22465
360	9651	22430
361	9681	22412
362	9706	22381
363	9733	22356
364	9763	22335
365	9794	22318
366	9823	22296
367	9845	22260
368	9872	22233
369	9899	22206
370	9927	22182
371	9952	22153
372	9980	22128
373	10008	22105
374	10034	22075
375	10060	22047
376	10087	22021
377	10118	22002
378	10141	21967
379	10171	21949
380	10203	21933
381	10229	21903
382	10254	21874
383	10280	21847
384	10307	21819
385	10335	21794
386	10360	21765
387	10389	21742
388	10421	21727
389	10444	21692
390	10472	21667
391	10496	21635
392	10525	21614
393	10551	21585
394	10581	21565
395	10606	21534
396	10638	21517
397	10667	21495
398	10690	21461
399	10718	21437
400	10744	21408
401	10771	21381
402	10800	21358
403	10826	21332
404	10856	21309
405	10880	21279
406	10906	21249
407	10936	21229
408	10968	21212
409	10998	21191
410	11024	21163
411	11051	21136
412	11078	21111
413	11106	21087
414	11131	21056
415	11168	21047
416	11197	21025
417	11223	20996
418	11252	20973
419	11280	20949
420	11308	20925
421	11332	20892
422	11361	20870
423	11395	20855
424	11424	20832
425	11449	20803
426	11477	20778
427	11509	20760
428	11532	20727
429	11562	20704
430	11593	20684
431	11620	20657
432	11647	20631
433	11674	20604
434	11706	20586
435	11729	20552
436	11758	20529
437	11788	20508
438	11817	20485
439	11843	20457
440	11869	20428
441	11896	20401
442	11922	20372
443	11947	20342
444	11976	20319
445	12004	20294
446	12031	20267
447	12060	20244
448	12087	20217
449	12115	20192
450	12141	20163
451	12170	20140
452	12199	20117
453	12228	20093
454	12258	20071
455	12284	20042
456	12311	20016
457	12344	19998
458	12374	19977
459	12405	19956
460	12437	19937
461	12463	19908
462	12489	19880
463	12517	19854
464	12549	19836
465	12575	19807
466	12603	19782
467	12631	19756
468	12661	19734
469	12687	19705
470	12712	19676
471	12741	19651
472	12771	19629
473	12799	19604
474	12822	19571
475	12850	19546
476	12878	19520
477	12905	19493
478	12932	19465
479	12962	19443
480	12988	19415
481	13014	19387
482	13045	19365
483	13072	19337
484	13100	19312
485	13122	19279
486	13151	19254
487	13182	19233
488	13208	19204
489	13234	19176
490	13262	19151
491	13294	19131
492	13317	19098
493	13346	19074
494	13395	19078
495	13419	19046
496	13453	19029
497	13481	19004
498	13509	18978
499	13535	18950
500	13564	18924
501	13592	18898
502	13619	18872
503	13647	18846
504	13672	18816
505	13701	18792
506	13727	18763
507	13756	18739
508	13783	18712
509	13812	18687
510	13841	18662
511	13865	18632
512	13894	18607
513	13926	18586
514	13953	18559
515	13979	18531
516	14007	18505
517	14038	18483
518	14062	18452
519	14092	18428
520	14115	18396
521	14145	18372
522	14173	18346
523	14199	18318
524	14225	18290
525	14252	18262
526	14280	18236
527	14306	18208
528	14333	18180
529	14393	18196
530	14427	18176
531	14457	18153
532	14489	18131
533	14513	18100
534	14547	18081
535	14574	18055
536	14605	18031
537	14638	18012
538	14673	17994
539	14706	17974
540	14741	17957
541	14775	17937
542	14805	17913
543	14837	17891
544	14868	17869
545	14898	17845
546	14928	17821
547	14961	17801
548	14989	17773
549	15018	17748
550	15042	17718
551	15070	17691
552	15101	17668
553	15130	17643
554	15155	17613
555	15184	17588
556	15208	17556
557	15232	17526
558	15256	17494
559	15290	17475
560	15318	17447
561	15347	17423
562	15380	17402
563	15414	17382
564	15445	17358
565	15472	17330
566	15507	17312
567	15540	17291
568	15568	17265
569	15602	17244
570	15632	17220
571	15656	17189
572	15682	17160
573	15708	17131
574	15740	17109
575	15767	17081
576	15797	17056
577	15826	17031
578	15852	17001
579	15878	16973
580	15902	16943
581	15937	16923
582	15966	16897
583	15993	16870
584	16022	16843
585	16049	16815
586	16077	16789
587	16102	16759
588	16131	16734
589	16159	16706
590	16182	16675
591	16214	16652
592	16242	16625
593	16270	16599
594	16294	16568
595	16324	16543
596	16356	16520
597	16382	16491
598	16411	16466
599	16439	16439
600	16470	16415
601	16492	16383
602	16521	16356
603	16544	16325
604	16573	16299
605	16609	16280
606	16640	16256
607	16675	16236
608	16711	16217
609	16745	16196
610	16790	16186
611	16826	16166
612	16877	16161
613	16919	16148
614	16955	16128
615	16988	16106
616	17018	16080
617	17042	16049
618	17071	16023
619	17098	15995
620	17126	15967
621	17153	15940
622	17176	15908
623	17210	15886
624	17234	15855
625	17259	15825
626	17285	15796
627	17316	15771
628	17340	15741
629	17392	15735
630	17424	15712
631	17453	15686
632	17477	15655
633	17505	15628
634	17535	15602
635	17564	15575
636	17592	15548
637	17627	15527
638	17655	15500
639	17681	15470
640	17708	15443
641	17739	15418
642	17765	15389
643	17793	15362
644	17819	15333
645	17850	15308
646	17875	15278
647	17901	15249
648	17929	15222
649	17958	15195
650	17984	15166
651	18010	15137
652	18044	15115
653	18068	15084
654	18094	15055
655	18119	15025
656	18150	15000
657	18176	14972
658	18203	14944
659	18228	14914
660	18257	14888
661	18280	14856
662	18309	14829
663	18332	14798
664	18361	14771
665	18386	14742
666	18414	14714
667	18442	14687
668	18471	14661
669	18497	14632
670	18523	14603
671	18547	14573
672	18579	14549
673	18605	14519
674	18629	14489
675	18657	14462
676	18686	14435
677	18713	14408
678	18742	14381
679	18765	14349
680	18797	14325
681	18820	14294
682	18848	14267
683	18873	14237
684	18903	14212
685	18927	14181
686	18954	14153
687	18983	14127
688	19008	14097
689	19032	14067
690	19056	14037
691	19078	14005
692	19109	13980
693	19133	13950
694	19157	13920
695	19185	13893
696	19213	13865
697	19239	13837
698	19266	13809
699	19293	13781
700	19320	13752
701	19347	13724
702	19373	13696
703	19401	13668
704	19428	13641
705	19453	13612
706	19477	13581
707	19506	13555
708	19537	13530
709	19553	13494
710	19585	13470
711	19609	13440
712	19640	13415
713	19666	13386
714	19692	13357
715	19721	13331
716	19752	13305
717	19778	13277
718	19802	13247
719	19827	13218
720	19854	13190
721	19880	13161
722	19905	13133
723	19932	13104
724	19958	13076
725	19986	13048
726	20010	13018
727	20037	12991
728	20061	12961
729	20089	12934
730	20114	12905
731	20140	12877
732	20171	12851
733	20196	12822
734	20218	12791
735	20248	12765
736	20275	12737
737	20300	12708
738	20330	12682
739	20354	12652
740	20384	12626
741	20408	12597
742	20433	12568
743	20457	12538
744	20492	12515
745	20515	12485
746	20541	12457
747	20567	12428
748	20594	12400
749	20618	12371
750	20643	12342
751	20666	12312
752	20697	12286
753	20721	12257
754	20746	12227
755	20773	12200
756	20800	12172
757	20826	12143
758	20848	12113
759	20872	12083
760	20905	12059
761	20930	12030
762	20957	12003
